Тема;Дата начала;Время начала;Дата окончания;Время окончания;Весь день;Описание;Место;Частное
1-1 с тимлидом · Альфа;30.06.2026;18:00;30.06.2026;18:30;Нет;Встреча 1-1 с тимлидом по проекту Альфа: статус, блокеры, рост.;;Да
Daily стендап · Альфа;01.07.2026;09:30;01.07.2026;09:45;Нет;Daily стендап команды Альфа: статус по ППРБ-миграции, блокеры.;;Да
Postmortem-митинг · Альфа;01.07.2026;11:00;01.07.2026;12:00;Нет;Postmortem-митинг по инциденту 30.06: ППРБ-адаптер, action items.;;Да
Синк с партнёрами · Альфа;01.07.2026;12:30;01.07.2026;13:30;Нет;Синк с партнёрами по partner-api: интеграция с ППРБ-адаптером.;;Да
Технический разбор · Альфа;01.07.2026;14:00;01.07.2026;15:00;Нет;Технический разбор ППРБ-адаптера: connection pool, retries, таймауты.;;Да
Груминг бэклога · Альфа;01.07.2026;15:30;01.07.2026;16:00;Нет;Груминг бэклога проекта Альфа: уточнение задач ППРБ-миграции.;;Да
Разбор метрик · Альфа;01.07.2026;17:00;01.07.2026;18:00;Нет;Разбор метрик бизнес-операций: дашборд ППРБ, RPS, ошибки.;;Да
1-1 с тимлидом · Альфа;01.07.2026;18:00;01.07.2026;18:30;Нет;Встреча 1-1 с тимлидом по проекту Альфа: статус, блокеры, рост.;;Да
Daily стендап · Альфа;02.07.2026;09:30;02.07.2026;09:45;Нет;Daily стендап команды Альфа: статус по ППРБ-миграции, блокеры.;;Да
Code freeze · Альфа;02.07.2026;11:00;02.07.2026;12:00;Нет;Code freeze перед релизом ALPHA-2026.07: окно 03.07 18:00–20:00.;;Да
Планирование релиза · Альфа;02.07.2026;12:30;02.07.2026;13:30;Нет;Планирование релиза ALPHA-2026.07: окно 03.07 18:00–20:00, регламент.;;Да
Синхронизация с SRE · Альфа;02.07.2026;14:00;02.07.2026;15:00;Нет;Синхронизация с SRE по деплою ППРБ-адаптера в production.;;Да
Разбор блокеров · Альфа;02.07.2026;15:30;02.07.2026;16:00;Нет;Разбор блокеров релиза ALPHA-2026.07: ППРБ-адаптер, partner-api.;;Да
Код-ревью синк · Альфа;02.07.2026;17:00;02.07.2026;18:00;Нет;Синк по код-ревью PR: Миграция на ППРБ, Репликация ППРБ, Вебхуки ППРБ.;;Да
1-1 с тимлидом · Альфа;02.07.2026;18:00;02.07.2026;18:30;Нет;Встреча 1-1 с тимлидом по проекту Альфа: статус, блокеры, рост.;;Да
Daily стендап · Альфа;03.07.2026;09:30;03.07.2026;09:45;Нет;Daily стендап команды Альфа: статус по ППРБ-миграции, блокеры.;;Да
Релиз-синк · Альфа;03.07.2026;11:00;03.07.2026;12:00;Нет;Релиз-синк проекта Альфа (ALPHA-2026.07). 5 участников: Тимлид, SRE, Владелец продукта, Разработчик backend, Разработчик frontend.;;Да
Разбор блокеров · Альфа;03.07.2026;12:30;03.07.2026;13:30;Нет;Разбор блокеров релиза ALPHA-2026.07: ППРБ-адаптер, partner-api.;;Да
Демо для заказчика · Альфа;03.07.2026;14:00;03.07.2026;15:00;Нет;Демо релиза ALPHA-2026.07 (Миграция на ППРБ) для заказчика.;;Да
Ретроспектива · Альфа;03.07.2026;15:30;03.07.2026;16:00;Нет;Ретроспектива спринта 12 по проекту Альфа: что хорошо, что улучшить.;;Да
Синк с QA · Альфа;03.07.2026;17:00;03.07.2026;18:00;Нет;Синк с QA по тестированию ППРБ-миграции: smoke, регресс, нагрузка.;;Да
1-1 с тимлидом · Альфа;03.07.2026;18:00;03.07.2026;18:30;Нет;Встреча 1-1 с тимлидом по проекту Альфа: статус, блокеры, рост.;;Да
